,Appt. Date,Acct,Vehicle Code,Trip#,PickUp Time,PickUp Address,Arrival Time,D/Off Address,Rider Fare,PickUp Lat,PickUp Lng,PickUp Zipcode,D/Off Lat,D/Off Lng,D/Off Zipcode,D/Off Type,Time Slots,Weekday
10853,10/21/2019,ADA,9-949,1,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Monday
3416,7/10/2019,ADA,9-963,2,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
2509,4/10/2019,ADA,9-963,3,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
7003,10/14/2019,ADA,9-963,4,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Monday
13781,10/25/2019,ADA,9-963,5,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Friday
6460,11/10/2019,ADA,9-963,6,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Sunday
14540,10/28/2019,ADA,9-963,7,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Monday
880,2/10/2019,ADA,9-963,8,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Sunday
4503,9/10/2019,ADA,9-963,9,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Tuesday
12139,10/23/2019,ADA,9-963,10,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
8849,10/16/2019,ADA,9-963,11,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
9810,10/18/2019,ADA,9-963,12,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Friday
15770,10/30/2019,ADA,9-963,13,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
15225,10/29/2019,ADA,*9-80,14,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
11878,10/23/2019,SPC,9-963,15,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8513,10/16/2019,ADA,*9-82,16,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Wednesday
16611,10/31/2019,SPC,9-970,17,360,420 North Wilson St,390,5500 Armstrong Rd,$4.00 ,42.1233297,-85.5241883,49097,42.3416573,-85.2935956,49037,premise,Slot 22 : 6:00 - 6:59,Thursday
11788,10/22/2019,ADA,*9-79,18,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
11883,10/23/2019,SPW,*9-80,19,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8554,10/16/2019,SPC,9-956,20,360,218 Garfield Ave,390,5235 Portage Rd,$4.00 ,42.2557053,-85.5850976,49001,42.2315867,-85.5500121,49002,premise,Slot 22 : 6:00 - 6:59,Wednesday
1053,2/10/2019,SPC,9-963,21,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Sunday
11909,10/23/2019,ADA,*9-80,22,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Wednesday
4816,9/10/2019,SPC,9-959,23,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Tuesday
8347,10/16/2019,ADA,*9-80,24,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8364,10/16/2019,SPC,9-963,25,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8346,10/16/2019,SPW,*9-80,26,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Wednesday
12011,10/23/2019,SPC,9-954,27,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Wednesday
16021,10/30/2019,ADA,*9-79,28,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Wednesday
14272,10/28/2019,SPW,*9-82,29,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Monday
5617,10/10/2019,ADA,*9-79,30,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
2817,5/10/2019,SPC,9-957,31,360,9677 N 32nd St,390,521 E Michigan Ave,$4.00 ,42.399715,-85.457795,49083,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Friday
13595,10/25/2019,SPC,9-954,32,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Friday
2847,5/10/2019,ADA,9-942,33,360,616 Dwight Ave,390,521 E Michigan Ave,$3.00 ,42.2977748,-85.5624162,49048,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Friday
